dt,country,terrorism_insurgency,war_military_conflict,regional_disintegration,financial_sanctions,trade_disputes,cyber_warfare,energy_resource_conflicts,global_governance,nuclear_proliferation,territorial_disputes,other,TOTAL
01/10/2012,DE,0.142146411,0.639658849,3.198294243,0.284292822,0.639658849,0,0.710732054,1.421464108,0.284292822,0.142146411,0.639658849,8.102345416
01/11/2012,DE,0,0.512070227,2.414045355,0.219458669,0.292611558,0,0.877834674,0.658376006,0.219458669,0.07315289,0.438917337,5.705925384
01/12/2012,DE,0.236966825,0.552922591,2.606635071,0.157977883,0.157977883,0,0.315955766,1.105845182,0.078988942,0,0.078988942,5.292259084
01/01/2013,DE,0.236779795,0.315706393,1.104972376,0.315706393,0.394632991,0.078926598,0.552486188,0.315706393,0.078926598,0.078926598,0.236779795,3.709550118
01/02/2013,DE,0.323624595,0.647249191,0.647249191,0.485436893,0.647249191,0.404530744,0.809061489,0.566343042,0.566343042,0.161812298,0.485436893,5.74433657
01/03/2013,DE,0.217706821,0.217706821,1.814223512,0.653120464,0.145137881,0.290275762,0.290275762,0.435413643,0.362844702,0,0.290275762,4.716981132
01/04/2013,DE,0.179748352,0.359496705,0.659077292,0.419412822,0.299580587,0,0.659077292,1.018573996,0.119832235,0,0.419412822,4.134212103
01/05/2013,DE,0.388601036,1.230569948,0.259067358,0.194300518,1.489637306,0,0.453367876,0.582901554,0.064766839,0.129533679,0.453367876,5.24611399
01/06/2013,DE,0.192307692,0.641025641,0.641025641,0.128205128,2.564102564,0.128205128,0.769230769,0.641025641,0.256410256,0.064102564,0.705128205,6.730769231
01/07/2013,DE,0.231481481,0.694444444,1.157407407,0.05787037,1.215277778,0.810185185,0.405092593,0.289351852,0.173611111,0,0.173611111,5.208333333
01/08/2013,DE,0.191082803,1.146496815,0.636942675,0.318471338,0.191082803,0.573248408,0.573248408,0.445859873,0.382165605,0,0.191082803,4.649681529
01/09/2013,DE,0.200133422,0.800533689,0.266844563,0.066711141,0.333555704,0.266844563,0.600400267,0.466977985,0.200133422,0.266844563,0.667111408,4.136090727
01/10/2013,DE,0.122025625,0.305064063,0.91519219,0.183038438,0.549115314,0.366076876,0.549115314,0.488102502,0.244051251,0,0.610128127,4.331909701
01/11/2013,DE,0.1156738,0.520532099,0.636205899,0.0578369,1.098901099,0.2891845,0.751879699,0.4626952,0.520532099,0.0578369,0.636205899,5.147484095
01/12/2013,DE,0.147383935,0.884303611,0.884303611,0.368459838,0.810611643,0.29476787,0.663227708,0.589535741,0.29476787,0,0.29476787,5.232129698
01/01/2014,DE,0.133511348,0.667556742,0.600801068,0.333778371,0.734312417,0.333778371,0.46728972,0.534045394,0.133511348,0.200267023,0.267022697,4.405874499
01/02/2014,DE,0.137457045,0.618556701,0.618556701,0.412371134,0.756013746,0.274914089,0.618556701,0.756013746,0,0,0.137457045,4.329896907
01/03/2014,DE,0.062774639,0.376647834,2.071563089,2.259887006,1.192718142,0.251098556,1.94601381,0.564971751,0.062774639,3.515379787,0.439422473,12.74325173
01/04/2014,DE,0.178147268,1.603325416,1.187648456,1.247030879,0.653206651,0,1.128266033,0.712589074,0,0.771971496,0.712589074,8.194774347
01/05/2014,DE,0.256245996,1.089045484,0.768737988,0.832799488,1.601537476,0.384368994,1.473414478,1.153106983,0.064061499,0.704676489,0.576553491,8.904548366
